Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Guinea-Bissau,Africa,6080,308.94,58,2.95,0,130,6.61,5,0.25,0
Niger,Africa,5964,24.64,35,0.14,13,201,0.83,1,0,0
Liberia,Africa,5915,116.95,188,3.72,0,283,5.6,38,0.75,0
Gibraltar,Europe,5479,16262.5,43,127.63,0,97,287.91,0,0,0
San Marino,Europe,5423,15979.14,24,70.72,4,90,265.19,0,0,0
Brunei Darussalam,Western Pacific,5261,1202.57,938,214.41,214,25,5.71,7,1.6,3
Chad,Africa,5031,30.63,12,0.07,0,174,1.06,0,0,0
Bermuda,Americas,4477,7189.31,958,1538.39,259,42,67.44,7,11.24,4
Comoros,Africa,4109,472.52,9,1.03,3,147,16.9,0,0,0
Sint Maarten,Americas,4091,9540.13,112,261.18,38,59,137.59,2,4.66,0
Grenada,Americas,4077,3623.26,1691,1502.8,236,55,48.88,28,24.88,5
Saint Martin,Americas,3740,9674.33,81,209.52,0,35,90.54,2,5.17,0
New Zealand,Western Pacific,3739,77.54,131,2.72,15,27,0.56,0,0,0
New Caledonia,Western Pacific,3603,1262.01,2317,811.56,72,25,8.76,21,7.36,3
Liechtenstein,Europe,3529,9107.8,26,67.1,0,58,149.69,0,0,0
Monaco,Europe,3291,8386,10,25.48,1,35,89.19,0,0,0
Sao Tome and Principe,Africa,3097,1413.13,272,124.11,54,45,20.53,6,2.74,2
Dominica,Americas,2908,4039.39,410,569.52,16,10,13.89,3,4.17,1
Saint Vincent and the Grenadines,Americas,2830,2550.93,317,285.74,39,14,12.62,2,1.8,0
Turks and Caicos Islands,Americas,2805,7244.69,47,121.39,0,22,56.82,2,5.17,0
British Virgin Islands,Americas,2642,8737.64,0,0,0,37,122.37,0,0,0
Antigua and Barbuda,Americas,2603,2658.05,306,312.47,0,55,56.16,7,7.15,0
Bhutan,South-East Asia,2599,336.83,3,0.39,2,3,0.39,0,0,0
Bonaire,Americas,1937,9261.3,40,191.25,16,18,86.06,1,4.78,1
Saint Kitts and Nevis,Americas,1680,3158.37,204,383.52,6,10,18.8,3,5.64,0
Saint Barthélemy,Americas,1624,16428.93,11,111.28,0,2,20.23,0,0,0
Guernsey,Europe,1518,2354.66,101,156.67,17,21,32.57,3,4.65,0
United Republic of Tanzania,Africa,1367,2.29,0,0,0,50,0.08,0,0,0
Faroe Islands,Europe,1070,2189.71,29,59.35,0,2,4.09,0,0,0
Cayman Islands,Americas,774,1177.72,45,68.47,0,2,3.04,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Greenland,Europe,469,826.11,74,130.35,5,0,0,0,0,0
Wallis and Futuna,Western Pacific,454,4036.99,0,0,0,7,62.24,0,0,0
Anguilla,Americas,331,2206.37,13,86.66,0,0,0,0,0,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,263,456.94,7,12.16,0,2,3.47,0,0,0
Falkland Islands (Malvinas),Americas,67,1923.63,3,86.13,3,0,0,0,0,0
Montserrat,Americas,33,660.13,1,20,0,1,20,0,0,0
Saint Pierre and Miquelon,Americas,31,534.94,0,0,0,0,0,0,0,0
Holy See,Europe,26,3213.84,0,0,0,0,0,0,0,0
Sint Eustatius,Americas,24,764.57,0,0,0,0,0,0,0,0
Solomon Islands,Western Pacific,20,2.91,0,0,0,0,0,0,0,0
Saba,Americas,11,569.06,0,0,0,0,0,0,0,0
Palau,Western Pacific,5,27.64,2,11.05,0,0,0,0,0,0
Marshall Islands,Western Pacific,4,6.76,0,0,0,0,0,0,0,0
Vanuatu,Western Pacific,3,0.98,0,0,0,0,0,0,0,0
American Samoa,Western Pacific,1,1.81,1,1.81,0,0,0,0,0,0
Samoa,Western Pacific,1,0.5,0,0,0,0,0,0,0,0
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Tonga,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0
