Country Name,Country Code,Indicator Name,Indicator Code,value_2010,value_2019
Ghana,GHA,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,4.3,2.5
Guinea,GIN,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,4.3,2.4
"Gambia, The",GMB,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,4.3,1.9
Guinea-Bissau,GNB,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,3.9,2.4
Equatorial Guinea,GNQ,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,4.8,6
Greece,GRC,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,6,4.7
Grenada,GRD,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,9.5,10.7
Greenland,GRL,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,,2.1
Guatemala,GTM,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,8.6,10
Guam,GUM,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,6.7,18.7
Guyana,GUY,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,9.5,11.6
High income,HIC,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,7.901698941,7.93535064
"Hong Kong SAR, China",HKG,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,8.5,4.5
Honduras,HND,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,9.1,7.3
Heavily indebted poor countries (HIPC),HPC,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,3.947286459,5.729319261
Croatia,HRV,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,6.9,5.4
Haiti,HTI,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,7.2,6.7
Hungary,HUN,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,6.4,6.9
IBRD only,IBD,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,6.342912114,9.301992976
IDA & IBRD total,IBT,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,6.117635512,8.986872626
IDA total,IDA,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,5.18760442,7.851219133
IDA blend,IDB,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,6.37789446,10.60474371
Indonesia,IDN,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,4.8,6.3
IDA only,IDX,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,4.576042178,6.457722643
India,IND,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,7.8,10.4
Ireland,IRL,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,5.2,3.2
"Iran, Islamic Rep.",IRN,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,8,9.6
Iraq,IRQ,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,10.2,8.8
Iceland,ISL,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,1.6,5.8
Israel,ISR,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,6.5,9.7
Italy,ITA,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,5.9,5
Jamaica,JAM,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,10.6,11.3
Jordan,JOR,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,10.1,12.7
Japan,JPN,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,5,5.6
Kazakhstan,KAZ,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,5.8,6.1
Kenya,KEN,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,3.5,3.1
Kyrgyz Republic,KGZ,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,5.2,6.1
Cambodia,KHM,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,5.2,6.4
Kiribati,KIR,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,6.6,22.5
St. Kitts and Nevis,KNA,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,9,13.3
"Korea, Rep.",KOR,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,7.9,6.9
Kuwait,KWT,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,14.6,12.2
Latin America & Caribbean (excluding high income),LAC,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,7.51640764,9.840786144
Lao PDR,LAO,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,5.6,6.4
Lebanon,LBN,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,7.8,11.2
Liberia,LBR,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,4.7,2.4
Libya,LBY,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,9,10.2
St. Lucia,LCA,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,9.3,11.6
Latin America & Caribbean,LCN,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,7.435736021,9.694271126
Least developed countries: UN classification,LDC,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,4.270718137,6.442058445
Low income,LIC,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,3.978297977,6.391683468
Liechtenstein,LIE,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,8.9,9.4
Sri Lanka,LKA,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,10.9,10.7
Lower middle income,LMC,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,6.946160117,9.22358197
Low & middle income,LMY,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,6.10854232,9.010097774
Lesotho,LSO,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,3.9,4.5
Late-demographic dividend,LTE,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,5.261484203,8.830811226
Lithuania,LTU,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,7.6,3.8
Luxembourg,LUX,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,5.3,5
Latvia,LVA,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,7.6,5
"Macao SAR, China",MAC,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,8.5,4.3
Morocco,MAR,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,8.3,7
Monaco,MCO,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,6.7,2.9
Moldova,MDA,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,7.6,5.7
Madagascar,MDG,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,3.2,4.5
Maldives,MDV,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,7.4,9.2
Middle East & North Africa,MEA,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,9.973088195,11.37388398
Mexico,MEX,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,10.8,13.5
Marshall Islands,MHL,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,9.1,30.5
Middle income,MIC,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,6.266650338,9.239025356
North Macedonia,MKD,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,6.9,9.3
Mali,MLI,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,4.2,2.4
Malta,MLT,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,6.8,8.3
Myanmar,MMR,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,3.2,3.9
Middle East & North Africa (excluding high income),MNA,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,9.060933586,10.79064373
Montenegro,MNE,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,6.9,9
Mongolia,MNG,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,1.6,4.7
Mozambique,MOZ,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,4,3.3
Mauritania,MRT,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,4.8,7.1
Mauritius,MUS,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,16.2,22
Malawi,MWI,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,2.3,4.5
Malaysia,MYS,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,11.6,16.7
North America,NAC,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,10.18650148,10.46148847
Namibia,NAM,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,4.4,4.5
New Caledonia,NCL,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,7.2,21.8
Niger,NER,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,3.9,2.4
Nigeria,NGA,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,4.7,3.1
Nicaragua,NIC,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,10,11.4
Netherlands,NLD,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,5.3,5.4
Norway,NOR,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,3.6,5.3
Nepal,NPL,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,3.9,7.2
Nauru,NRU,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,30.9,12
New Zealand,NZL,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,5.2,6.2
OECD members,OED,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,7.751251766,8.320516057
Oman,OMN,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,13.4,10.1
Other small states,OSS,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,7.403567888,8.241798205
Pakistan,PAK,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,9.1,19.9
Panama,PAN,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,9.6,7.7
Peru,PER,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,6.2,6.6
Philippines,PHL,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,7.7,7.1
Palau,PLW,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,9.1,17.9
Papua New Guinea,PNG,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,3,17.9
Poland,POL,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,7.6,6.1
Pre-demographic dividend,PRE,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,4.325468867,5.371279804
Puerto Rico,PRI,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,10.6,13.7
"Korea, Dem. People's Rep.",PRK,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,5.3,6.4
Portugal,PRT,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,9.7,9.8
Paraguay,PRY,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,4.9,9.6
West Bank and Gaza,PSE,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,8.6,9.5
Pacific island small states,PSS,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,7.123781551,15.32532765
Post-demographic dividend,PST,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,7.625918323,7.579990606
French Polynesia,PYF,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,13.8,19.5
Qatar,QAT,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,15.4,15.6
Romania,ROU,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,6.9,6.9
Russian Federation,RUS,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,7.6,6.1
Rwanda,RWA,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,1.6,5.1
South Asia,SAS,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,7.813139557,11.23792641
Saudi Arabia,SAU,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,16.8,15.8
Sudan,SDN,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,4.2,22.1
Senegal,SEN,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,4.7,2.4
Singapore,SGP,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,10.2,5.5
Solomon Islands,SLB,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,3.3,19
Sierra Leone,SLE,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,4.4,2.4
El Salvador,SLV,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,9,8.8
San Marino,SMR,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,5.9,5.9
Somalia,SOM,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,3,5.1
Serbia,SRB,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,6.9,9
Sub-Saharan Africa (excluding high income),SSA,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,3.803725027,5.358631009
South Sudan,SSD,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,,10.2
Sub-Saharan Africa,SSF,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,3.805243904,5.359439866
Small states,SST,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,8.013181637,9.268443645
Sao Tome and Principe,STP,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,4.7,2.4
Suriname,SUR,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,10.5,12.5
Slovak Republic,SVK,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,6.4,6.5
Slovenia,SVN,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,7.7,5.9
Sweden,SWE,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,5.2,4.8
Eswatini,SWZ,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,4.2,4.5
Sint Maarten (Dutch part),SXM,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,,6.8
Seychelles,SYC,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,14.4,12.3
Syrian Arab Republic,SYR,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,10.8,13.5
Chad,TCD,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,3.7,6
East Asia & Pacific (IDA & IBRD countries),TEA,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,4.564072519,8.514102225
Europe & Central Asia (IDA & IBRD countries),TEC,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,7.272406255,7.099250722
Togo,TGO,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,4.3,2.4
Thailand,THA,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,7.1,7
Tajikistan,TJK,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,5,6.1
Turkmenistan,TKM,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,5.3,6.1
Latin America & the Caribbean (IDA & IBRD countries),TLA,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,7.36381344,9.67106673
Timor-Leste,TLS,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,3.5,6.7
Middle East & North Africa (IDA & IBRD countries),TMN,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,9.065381108,10.80461564
Tonga,TON,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,13.4,15.7
South Asia (IDA & IBRD),TSA,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,7.813139557,11.23792641
Sub-Saharan Africa (IDA & IBRD countries),TSS,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,3.805243904,5.359439866
Trinidad and Tobago,TTO,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,11.7,11
Tunisia,TUN,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,9.3,8.5
Turkey,TUR,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,8,11.1
Tuvalu,TUV,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,13.9,22.1
Tanzania,TZA,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,3.2,5.7
Uganda,UGA,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,2.2,2.5
Ukraine,UKR,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,7.6,6.1
Upper middle income,UMC,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,5.549955379,9.256866035
Uruguay,URY,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,5.7,7.3
United States,USA,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,10.3,10.8
Uzbekistan,UZB,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,5.2,6.5
